,SA2 Code,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006-2011,Rent%2011-2016,Rent%2006_2016,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016,Income_total_2006,Income_total_2011,Income_total_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016,Sum2006-2011,Sum2011-2016,Sum2006-2016
166,507051187,Port Kennedy,224,374,374,0.67,0,0.67,3.12,3.09,3.03,-0.01,-0.02,-0.03,599,1999,2499,2.34,0.25,3.17,529,688,842,0.01,0.02,0.03,3.01,0.25,3.84
122,506051140,Kalamunda - Maida Vale - Gooseberry Hill,224,374,549,0.67,0.47,1.45,2.64,2.62,2.59,-0.01,-0.01,-0.02,799,799,2499,0,2.13,2.13,1881,2165,2517,0.03,0.02,0.05,0.69,2.61,3.61
78,505031099,Butler - Merriwa - Ridgewood,274,374,374,0.37,0,0.37,2.81,2.86,2.81,0.02,-0.02,0,599,1999,2499,2.34,0.25,3.17,592,1245,1739,0.02,0.01,0.03,2.75,0.24,3.57
95,506011113,Forrestdale - Harrisdale - Piara Waters,174,549,549,2.16,0,2.16,2.8,2.93,3.03,0.05,0.04,0.08,1249,1999,2499,0.6,0.25,1,87,1083,4029,0.14,0.11,0.25,2.95,0.4,3.49
105,506021123,Victoria Park - Lathlain - Burswood,174,324,549,0.86,0.69,2.16,2.03,2.17,2.25,0.07,0.04,0.11,1249,1999,2499,0.6,0.25,1,1974,3298,3942,0.09,0.04,0.13,1.62,1.02,3.4
39,504031060,Gidgegannup,174,224,549,0.29,1.45,2.16,2.95,2.88,2.91,-0.03,0.01,-0.02,1249,1999,2499,0.6,0.25,1,239,291,334,0.01,-0.01,0,0.87,1.7,3.14
99,506011117,Seville Grove,199,324,374,0.63,0.15,0.88,3.02,2.94,3,-0.03,0.02,-0.01,799,1999,2499,1.5,0.25,2.13,182,435,707,0.04,0.04,0.09,2.14,0.46,3.09
127,506071145,Como,199,324,549,0.63,0.69,1.76,1.95,2.05,2.11,0.05,0.03,0.08,1249,1999,2499,0.6,0.25,1,2471,3553,4292,0.09,0.04,0.13,1.37,1.01,2.97
75,505021096,Wembley Downs - Churchlands - Woodlands,199,324,549,0.63,0.69,1.76,2.5,2.62,2.68,0.05,0.02,0.07,1249,3000,2499,1.4,-0.17,1,2858,3547,4346,0.07,0.02,0.09,2.15,0.56,2.92
113,506031131,Willetton,224,374,549,0.67,0.47,1.45,2.86,2.9,3.05,0.01,0.05,0.07,1249,1999,2499,0.6,0.25,1,2698,3657,4413,0.09,0.05,0.14,1.37,0.82,2.66
71,505021092,Scarborough,224,324,549,0.45,0.69,1.45,1.98,2.06,2.13,0.04,0.04,0.08,1249,3000,2499,1.4,-0.17,1,2348,3273,4223,0.05,0.06,0.11,1.94,0.62,2.64
17,503021038,Mount Hawthorn - Leederville,224,549,549,1.45,0,1.45,2.29,2.4,2.46,0.05,0.03,0.08,1249,3000,2499,1.4,-0.17,1,2343,2984,3543,0.05,0.05,0.1,2.95,-0.09,2.63
129,506071147,South Perth - Kensington,224,549,549,1.45,0,1.45,2.16,2.23,2.28,0.03,0.02,0.05,1249,2999,2499,1.4,-0.17,1,3667,4735,5324,0.08,0.04,0.11,2.96,-0.11,2.61
160,507041181,Melville,224,549,549,1.45,0,1.45,2.44,2.53,2.59,0.04,0.02,0.06,1249,1999,2499,0.6,0.25,1,2587,3260,3859,0.05,0.03,0.08,2.14,0.3,2.59
21,503021042,Subiaco - Shenton Park,224,549,549,1.45,0,1.45,2.08,2.12,2.19,0.02,0.03,0.05,1249,2999,2499,1.4,-0.17,1,4459,5474,6439,0.06,0.02,0.08,2.93,-0.12,2.58
68,505021089,Karrinyup - Gwelup - Carine,224,549,549,1.45,0,1.45,2.68,2.72,2.76,0.02,0.01,0.03,1249,2999,2499,1.4,-0.17,1,3325,4145,4969,0.04,0.03,0.08,2.91,-0.13,2.56
60,505011081,Padbury,224,374,549,0.67,0.47,1.45,2.57,2.62,2.59,0.02,-0.01,0.01,1249,1999,2499,0.6,0.25,1,836,1147,1353,0.05,0.04,0.09,1.34,0.75,2.55
52,505011073,Greenwood - Warwick,224,374,549,0.67,0.47,1.45,2.57,2.61,2.6,0.01,0,0.01,1249,1999,2499,0.6,0.25,1,1511,1984,2311,0.06,0.03,0.08,1.34,0.75,2.54
57,505011078,Kingsley,224,549,549,1.45,0,1.45,2.78,2.7,2.66,-0.03,-0.01,-0.04,1249,1999,2499,0.6,0.25,1,1352,1814,2197,0.05,0.04,0.1,2.07,0.28,2.51
54,505011075,Hillarys,224,549,549,1.45,0,1.45,2.91,2.88,2.86,-0.01,-0.01,-0.02,1249,2999,2499,1.4,-0.17,1,1511,1911,2275,0.04,0.04,0.08,2.88,-0.14,2.51
56,505011077,Joondalup - Edgewater,224,374,549,0.67,0.47,1.45,2.65,2.6,2.53,-0.02,-0.03,-0.05,1249,1999,2499,0.6,0.25,1,1281,1781,2320,0.05,0.05,0.1,1.3,0.74,2.5
159,507041180,Leeming,224,549,549,1.45,0,1.45,3.04,2.95,2.86,-0.03,-0.03,-0.06,1249,1999,2499,0.6,0.25,1,1806,2220,2488,0.06,0.03,0.09,2.08,0.25,2.48
47,504031068,The Vines,224,549,549,1.45,0,1.45,2.92,2.9,2.93,-0.01,0.01,0,1249,3000,2499,1.4,-0.17,1,431,655,1232,0.03,-0.01,0.02,2.87,-0.17,2.47
9,503011030,City Beach,549,950,950,0.73,0,0.73,2.8,2.84,2.88,0.01,0.02,0.03,2999,3000,7999,0,1.67,1.67,1756,1988,2201,0.03,0.01,0.04,0.77,1.7,2.47
161,507041182,Murdoch - Kardinya,224,549,549,1.45,0,1.45,2.79,2.71,2.61,-0.03,-0.04,-0.07,1249,1999,2499,0.6,0.25,1,1673,2188,2673,0.06,0.02,0.09,2.08,0.23,2.47
8,502011029,Pinjarra,124,224,374,0.81,0.67,2.02,2.5,2.55,2.57,0.02,0,0.02,599,599,799,0,0.33,0.33,181,357,496,0.03,0,0.03,0.86,1,2.4
12,503011033,Floreat,224,549,649,1.45,0.18,1.9,2.84,2.97,3.01,0.04,0.01,0.06,2999,3000,3999,0,0.33,0.33,1947,2276,2822,0.05,0.04,0.09,1.54,0.56,2.38
64,505021085,Balga - Mirrabooka,174,324,374,0.86,0.15,1.15,2.69,2.76,2.72,0.02,-0.01,0.01,599,599,1249,0,1.09,1.09,607,1072,1945,0.05,0.08,0.12,0.93,1.31,2.37
45,504031066,Midland - Guildford,174,324,374,0.86,0.15,1.15,2.14,2.14,2.19,0,0.02,0.02,599,799,1249,0.33,0.56,1.09,656,1029,1318,0.04,0.02,0.06,1.23,0.75,2.32
110,506031128,Parkwood - Ferndale - Lynwood,174,374,374,1.15,0,1.15,2.48,2.5,2.52,0.01,0.01,0.02,1249,999,2499,-0.2,1.5,1,1322,1873,2435,0.07,0.05,0.12,1.03,1.56,2.29
151,507031173,Kwinana Industrial,74,74,74,0,0,0,0.82,0,3.5,0,0,3.28,1249,1249,299,0,-0.76,-0.76,14,0,0,-0.23,0,-0.23,-0.23,-0.76,2.29
20,503021041,Perth City,274,549,549,1,0,1,1.78,1.85,1.9,0.04,0.03,0.07,1249,2999,2499,1.4,-0.17,1,4197,8035,10892,0.11,0.03,0.14,2.55,-0.11,2.21
44,504031065,Middle Swan - Herne Hill,174,324,374,0.86,0.15,1.15,2.59,2.57,2.55,-0.01,-0.01,-0.01,1249,1249,2499,0,1,1,218,304,437,0.02,0.04,0.06,0.87,1.18,2.2
19,503021040,North Perth,274,549,549,1,0,1,2.22,2.34,2.39,0.05,0.02,0.08,1249,3000,2499,1.4,-0.17,1,1709,2260,2729,0.06,0.05,0.11,2.51,-0.1,2.19
140,507011161,Success - Hammond Park,274,424,549,0.55,0.29,1,2.82,2.82,2.9,0,0.03,0.03,1249,1999,2499,0.6,0.25,1,564,1571,2649,0.08,0.05,0.14,1.23,0.62,2.17
130,507011148,Banjup,274,549,549,1,0,1,3.16,3.08,3.14,-0.02,0.02,0,1249,1999,2499,0.6,0.25,1,828,2085,3080,0.09,0.04,0.13,1.67,0.31,2.13
82,505031103,Madeley - Darch - Landsdale,274,549,549,1,0,1,3.17,3.18,3.17,0,0,0,1249,1999,2499,0.6,0.25,1,962,2208,3715,0.07,0.04,0.11,1.67,0.29,2.11
81,505031102,Girrawheen,174,324,324,0.86,0,0.86,2.55,2.62,2.73,0.03,0.04,0.07,599,599,1249,0,1.09,1.09,289,425,626,0.04,0.05,0.08,0.93,1.18,2.1
58,505011079,Mullaloo - Kallaroo,274,549,549,1,0,1,2.82,2.79,2.8,-0.01,0,-0.01,1249,2999,2499,1.4,-0.17,1,1409,1710,2053,0.05,0.03,0.08,2.44,-0.14,2.07
155,507041176,Bateman,274,549,549,1,0,1,2.96,2.9,2.88,-0.02,-0.01,-0.03,1249,1999,2499,0.6,0.25,1,689,882,1048,0.05,0.05,0.1,1.63,0.29,2.07
38,504031059,Ellenbrook,274,374,549,0.37,0.47,1,3,3.02,2.95,0.01,-0.03,-0.02,1249,1999,2499,0.6,0.25,1,881,1830,3629,0.02,0.03,0.05,1,0.72,2.03
92,506011110,Armadale - Wungong - Brookdale,174,324,324,0.86,0,0.86,2.47,2.45,2.49,-0.01,0.01,0.01,599,599,1249,0,1.09,1.09,441,691,1240,0.03,0.04,0.07,0.88,1.14,2.03
62,505011083,Woodvale,274,549,549,1,0,1,3.11,2.99,2.93,-0.04,-0.02,-0.06,1249,2999,2499,1.4,-0.17,1,1024,1218,1544,0.04,0.04,0.08,2.4,-0.15,2.02
50,505011071,Currambine - Kinross,274,424,549,0.55,0.29,1,3.17,3.07,2.98,-0.03,-0.03,-0.06,1249,1999,2499,0.6,0.25,1,1210,1558,1924,0.04,0.03,0.07,1.16,0.54,2.01
165,507051186,Cooloongup,174,324,324,0.86,0,0.86,2.51,2.5,2.48,0,-0.01,-0.01,599,599,1249,0,1.09,1.09,192,301,391,0.03,0.02,0.05,0.89,1.1,1.99
6,502011027,Mandurah - North,224,374,424,0.67,0.13,0.89,2.69,2.71,2.79,0.01,0.03,0.04,1249,1999,2499,0.6,0.25,1,467,950,1623,0.01,0.02,0.03,1.29,0.43,1.96
80,505031101,Clarkson,224,374,424,0.67,0.13,0.89,2.91,2.8,2.74,-0.04,-0.02,-0.06,1249,1999,2499,0.6,0.25,1,343,958,1488,0.05,0.05,0.1,1.28,0.41,1.93
53,505011074,Heathridge - Connolly,224,374,424,0.67,0.13,0.89,2.72,2.68,2.64,-0.01,-0.01,-0.03,1249,1999,2499,0.6,0.25,1,863,1121,1384,0.04,0.03,0.07,1.3,0.4,1.93
148,507031169,Bertram - Wellard (West),224,374,374,0.67,0,0.67,2.91,2.91,3,0,0.03,0.03,1249,1999,2499,0.6,0.25,1,200,740,2170,0.08,0.11,0.18,1.35,0.39,1.88
51,505011072,Duncraig,224,549,549,1.45,0,1.45,2.81,2.81,2.84,0,0.01,0.01,1999,1999,2499,0,0.25,0.25,2521,3107,3570,0.07,0.03,0.1,1.52,0.29,1.81
61,505011082,Sorrento - Marmion,224,549,549,1.45,0,1.45,2.78,2.75,2.75,-0.01,0,-0.01,1999,3000,2499,0.5,-0.17,0.25,1598,1936,2249,0.04,0.04,0.08,1.98,-0.13,1.77
170,507051191,Singleton - Golden Bay - Secret Harbour,274,374,424,0.37,0.13,0.55,3.1,3.16,3.12,0.02,-0.01,0.01,1249,1999,2499,0.6,0.25,1,711,1304,1812,0.03,0,0.03,1.02,0.37,1.59
158,507041179,Bull Creek,249,549,549,1.2,0,1.2,2.69,2.63,2.68,-0.02,0.02,0,1999,1999,2499,0,0.25,0.25,1408,1727,2098,0.07,0.05,0.12,1.25,0.32,1.57
162,507041183,Willagee,74,99,124,0.34,0.25,0.68,2.2,2.34,2.41,0.06,0.03,0.09,299,399,499,0.33,0.25,0.67,503,668,819,0.04,0.03,0.08,0.77,0.56,1.52
0,502011021,Dawesville - Bouvard,174,324,374,0.86,0.15,1.15,2.66,2.63,2.58,-0.01,-0.02,-0.03,599,599,799,0,0.33,0.33,241,381,594,0.04,0.01,0.04,0.89,0.47,1.49
154,507041175,Applecross - Ardross,224,549,549,1.45,0,1.45,2.52,2.54,2.59,0.01,0.02,0.03,2999,2999,2499,0,-0.17,-0.17,2295,2889,3451,0.06,0.05,0.1,1.52,-0.1,1.41
107,506031125,Canning Vale - West,274,549,549,1,0,1,3.35,3.27,3.2,-0.02,-0.02,-0.05,1999,2999,2499,0.5,-0.17,0.25,1124,1564,1955,0.05,0.05,0.1,1.53,-0.14,1.3
86,505031107,Tapping - Ashby - Sinagra,299,424,549,0.42,0.29,0.84,2.77,2.99,2.99,0.08,0,0.08,1999,1999,2499,0,0.25,0.25,402,1228,1624,0.06,0.04,0.1,0.56,0.58,1.27
59,505011080,Ocean Reef,274,549,549,1,0,1,3.14,3.07,2.96,-0.02,-0.04,-0.05,1999,2999,2499,0.5,-0.17,0.25,999,1132,1378,0.02,0.05,0.06,1.5,-0.16,1.26
7,502011028,Mandurah - South,174,274,324,0.57,0.18,0.86,2.22,2.27,2.25,0.02,-0.01,0.01,599,599,799,0,0.33,0.33,308,503,640,0.03,0.01,0.04,0.62,0.51,1.24
91,505031258,Yanchep,174,324,374,0.86,0.15,1.15,2.58,2.65,2.79,0.03,0.05,0.08,0,0,2499,0,0,0,150,297,646,0,0.01,0.01,0.89,0.21,1.24
3,502011024,Halls Head - Erskine,199,324,374,0.63,0.15,0.88,2.56,2.53,2.47,-0.01,-0.02,-0.03,599,1999,799,2.34,-0.6,0.33,893,1285,1718,0.02,0.03,0.04,2.98,-0.44,1.22
4,502011025,Mandurah,174,274,324,0.57,0.18,0.86,1.89,1.96,1.94,0.04,-0.01,0.02,399,599,499,0.5,-0.17,0.25,290,487,794,0.04,0.05,0.09,1.15,0.05,1.22
2,502011023,Greenfields,174,274,324,0.57,0.18,0.86,2.53,2.44,2.37,-0.04,-0.03,-0.06,599,599,799,0,0.33,0.33,325,407,548,0.01,0.02,0.04,0.54,0.5,1.17
11,503011032,Cottesloe,324,549,549,0.69,0,0.69,2.46,2.47,2.5,0,0.01,0.02,2999,3000,3999,0,0.33,0.33,2081,2531,2897,0.06,0.06,0.12,0.75,0.4,1.16
167,507051188,Rockingham,149,224,274,0.5,0.22,0.84,2.1,2.11,2.13,0,0.01,0.01,399,599,499,0.5,-0.17,0.25,518,925,1120,0.05,0.01,0.05,1.05,0.07,1.15
149,507031170,Calista,149,274,324,0.84,0.18,1.17,2.35,2.49,2.49,0.06,0,0.06,599,599,499,0,-0.17,-0.17,184,349,489,0.04,0.03,0.07,0.94,0.04,1.13
55,505011076,Iluka - Burns Beach,424,749,749,0.77,0,0.77,3.3,3.3,3.22,0,-0.03,-0.02,1999,2999,2499,0.5,-0.17,0.25,472,930,1553,0.06,0.02,0.08,1.33,-0.18,1.08
142,507011259,Beeliar - Wattleup,274,424,549,0.55,0.29,1,3.02,3,2.86,-0.01,-0.05,-0.05,0,0,2499,0,0,0,296,664,1101,0.1,0.03,0.13,0.64,0.27,1.08
115,506041133,Canning Vale - East,324,549,549,0.69,0,0.69,3.24,3.15,3.21,-0.03,0.02,-0.01,1999,2999,2499,0.5,-0.17,0.25,1412,3062,4360,0.08,0.06,0.15,1.24,-0.09,1.08
143,507011260,Jandakot,274,549,549,1,0,1,3.05,3.04,2.89,0,-0.05,-0.05,0,0,2499,0,0,0,364,412,443,0.05,0.01,0.07,1.05,-0.04,1.02
90,505031257,Two Rocks,174,274,324,0.57,0.18,0.86,2.34,2.47,2.61,0.06,0.05,0.12,0,0,799,0,0,0,87,109,189,0,0.01,0.01,0.63,0.24,0.99
163,507041184,Winthrop,324,549,649,0.69,0.18,1,3.28,3.21,3.1,-0.02,-0.04,-0.06,2999,2999,2499,0,-0.17,-0.17,1342,1527,1699,0.05,0.04,0.09,0.72,0.01,0.86
164,507051185,Baldivis,274,374,424,0.37,0.13,0.55,3.14,2.99,2.94,-0.05,-0.01,-0.06,1999,1999,2499,0,0.25,0.25,453,1293,2877,0.01,0.01,0.02,0.33,0.38,0.76
89,505031256,Carabooda - Pinjar,174,324,274,0.86,-0.15,0.57,3.01,2.88,3.03,-0.04,0.05,0,0,0,2499,0,0,0,53,42,62,-0.05,0.04,-0.01,0.77,-0.06,0.56
150,507031172,Hope Valley - Postans,174,324,274,0.86,-0.15,0.57,2.52,2.47,2.38,-0.02,-0.04,-0.06,799,1249,499,0.56,-0.6,-0.38,11,0,3,-0.12,0.1,-0.02,1.28,-0.69,0.11
34,504031055,Avon Valley National Park,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
42,504031063,Malaga,74,74,74,0,0,0,0,0.6,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
43,504031064,Melaleuca - Lexia,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
48,504031069,Walyunga National Park,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
66,505021087,Herdsman,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
70,505021091,Osborne Park Industrial,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
93,506011111,Ashendon - Lesley,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
102,506021120,Kewdale Commercial,74,74,74,0,0,0,0,0,0,0,0,0,199,799,149,3.02,-0.81,-0.25,0,0,0,0,0,0,3.02,-0.81,-0.25
103,506021121,Perth Airport,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
108,506031126,Canning Vale Commercial,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
112,506031130,Welshpool,74,74,74,0,0,0,0,0,0,0,0,0,199,1999,149,9.05,-0.93,-0.25,0,0,0,0,0,0,9.05,-0.93,-0.25
132,507011151,Bibra Lake,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
136,507011155,Henderson,74,74,74,0,0,0,0,1,1,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
147,507021167,O'Connor (WA),74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
168,507051189,Rockingham Lakes,74,74,74,0,0,0,0,0,0,0,0,0,199,199,149,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25
131,507011150,Bibra Industrial,74,74,74,0,0,0,0,0,0,0,0,0,999,1499,149,0.5,-0.9,-0.85,0,0,0,0,0,0,0.5,-0.9,-0.85
