,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006_2011,Rent%2006_2011,Rent%2006_2011,,,,2006-2011,2011-2016,2006-2016
0,Dawesville - Bouvard,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
1,Falcon - Wannanup,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
2,Greenfields,174,274,324,0.57,0.18,0.86,100,50,150,0.574712644,0.182481752,0.862068966
3,Halls Head - Erskine,199,324,374,0.63,0.15,0.88,125,50,175,0.628140704,0.154320988,0.879396985
4,Mandurah,174,274,324,0.57,0.18,0.86,100,50,150,0.574712644,0.182481752,0.862068966
5,Mandurah - East,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
6,Mandurah - North,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
7,Mandurah - South,174,274,324,0.57,0.18,0.86,100,50,150,0.574712644,0.182481752,0.862068966
8,Pinjarra,124,224,374,0.81,0.67,2.02,100,150,250,0.806451613,0.669642857,2.016129032
9,City Beach,549,950,950,0.73,0,0.73,401,0,401,0.730418944,0,0.730418944
10,Claremont (WA),224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
11,Cottesloe,324,549,549,0.69,0,0.69,225,0,225,0.694444444,0,0.694444444
12,Floreat,224,549,649,1.45,0.18,1.9,325,100,425,1.450892857,0.182149362,1.897321429
13,Mosman Park - Peppermint Grove,124,274,324,1.21,0.18,1.61,150,50,200,1.209677419,0.182481752,1.612903226
14,Nedlands - Dalkeith - Crawley,174,549,549,2.16,0,2.16,375,0,375,2.155172414,0,2.155172414
15,Swanbourne - Mount Claremont,74,950,950,11.84,0,11.84,876,0,876,11.83783784,0,11.83783784
16,Kings Park (WA),74,950,950,11.84,0,11.84,876,0,876,11.83783784,0,11.83783784
17,Mount Hawthorn - Leederville,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
18,Mount Lawley - Inglewood,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
19,North Perth,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
20,Perth City,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
21,Subiaco - Shenton Park,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
22,Wembley - West Leederville - Glendalough,149,324,324,1.17,0,1.17,175,0,175,1.174496644,0,1.174496644
23,Bassendean - Eden Hill - Ashfield,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
24,Bayswater - Embleton - Bedford,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
25,Maylands,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
26,Morley,224,324,549,0.45,0.69,1.45,100,225,325,0.446428571,0.694444444,1.450892857
27,Noranda,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
28,Chidlow,199,324,549,0.63,0.69,1.76,125,225,350,0.628140704,0.694444444,1.75879397
29,Glen Forrest - Darlington,174,549,549,2.16,0,2.16,375,0,375,2.155172414,0,2.155172414
30,Helena Valley - Koongamia,74,324,549,3.38,0.69,6.42,250,225,475,3.378378378,0.694444444,6.418918919
31,Malmalling - Reservoir,74,74,74,0,0,0,0,0,0,0,0,0
32,Mundaring,174,374,549,1.15,0.47,2.16,200,175,375,1.149425287,0.467914439,2.155172414
33,Swan View - Greenmount - Midvale,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
34,Avon Valley National Park,74,74,74,0,0,0,0,0,0,0,0,0
35,Ballajura,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
36,Beechboro,174,374,374,1.15,0,1.15,200,0,200,1.149425287,0,1.149425287
37,Bullsbrook,174,374,324,1.15,-0.13,0.86,200,-50,150,1.149425287,-0.13368984,0.862068966
38,Ellenbrook,274,374,549,0.37,0.47,1,100,175,275,0.364963504,0.467914439,1.003649635
39,Gidgegannup,174,224,549,0.29,1.45,2.16,50,325,375,0.287356322,1.450892857,2.155172414
40,Hazelmere - Guildford,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
41,Lockridge - Kiara,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
42,Malaga,74,74,74,0,0,0,0,0,0,0,0,0
43,Melaleuca - Lexia,74,74,74,0,0,0,0,0,0,0,0,0
44,Middle Swan - Herne Hill,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
45,Midland - Guildford,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
46,Stratton - Jane Brook,199,374,374,0.88,0,0.88,175,0,175,0.879396985,0,0.879396985
47,The Vines,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
48,Walyunga National Park,74,74,74,0,0,0,0,0,0,0,0,0
49,Craigie - Beldon,199,374,374,0.88,0,0.88,175,0,175,0.879396985,0,0.879396985
50,Currambine - Kinross,274,424,549,0.55,0.29,1,150,125,275,0.547445255,0.294811321,1.003649635
51,Duncraig,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
52,Greenwood - Warwick,224,374,549,0.67,0.47,1.45,150,175,325,0.669642857,0.467914439,1.450892857
53,Heathridge - Connolly,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
54,Hillarys,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
55,Iluka - Burns Beach,424,749,749,0.77,0,0.77,325,0,325,0.766509434,0,0.766509434
56,Joondalup - Edgewater,224,374,549,0.67,0.47,1.45,150,175,325,0.669642857,0.467914439,1.450892857
57,Kingsley,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
58,Mullaloo - Kallaroo,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
59,Ocean Reef,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
60,Padbury,224,374,549,0.67,0.47,1.45,150,175,325,0.669642857,0.467914439,1.450892857
61,Sorrento - Marmion,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
62,Woodvale,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
63,Balcatta - Hamersley,224,374,374,0.67,0,0.67,150,0,150,0.669642857,0,0.669642857
64,Balga - Mirrabooka,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
65,Dianella,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
66,Herdsman,74,74,74,0,0,0,0,0,0,0,0,0
67,Innaloo - Doubleview,74,549,549,6.42,0,6.42,475,0,475,6.418918919,0,6.418918919
68,Karrinyup - Gwelup - Carine,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
69,Nollamara - Westminster,174,374,374,1.15,0,1.15,200,0,200,1.149425287,0,1.149425287
70,Osborne Park Industrial,74,74,74,0,0,0,0,0,0,0,0,0
71,Scarborough,224,324,549,0.45,0.69,1.45,100,225,325,0.446428571,0.694444444,1.450892857
72,Stirling - Osborne Park,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
73,Trigg - North Beach - Watermans Bay,224,324,549,0.45,0.69,1.45,100,225,325,0.446428571,0.694444444,1.450892857
74,Tuart Hill - Joondanna,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
75,Wembley Downs - Churchlands - Woodlands,199,324,549,0.63,0.69,1.76,125,225,350,0.628140704,0.694444444,1.75879397
76,Yokine - Coolbinia - Menora,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
77,Alexander Heights - Koondoola,199,324,374,0.63,0.15,0.88,125,50,175,0.628140704,0.154320988,0.879396985
78,Butler - Merriwa - Ridgewood,274,374,374,0.37,0,0.37,100,0,100,0.364963504,0,0.364963504
79,Carramar,274,424,549,0.55,0.29,1,150,125,275,0.547445255,0.294811321,1.003649635
80,Clarkson,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
81,Girrawheen,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
82,Madeley - Darch - Landsdale,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
83,Marangaroo,199,374,424,0.88,0.13,1.13,175,50,225,0.879396985,0.13368984,1.130653266
84,Mindarie - Quinns Rocks - Jindalee,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
85,Neerabup National Park,74,74,549,0,6.42,6.42,0,475,475,0,6.418918919,6.418918919
86,Tapping - Ashby - Sinagra,299,424,549,0.42,0.29,0.84,125,125,250,0.418060201,0.294811321,0.836120401
87,Wanneroo,174,374,549,1.15,0.47,2.16,200,175,375,1.149425287,0.467914439,2.155172414
88,Alkimos - Eglinton,74,74,374,0,4.05,4.05,0,300,300,0,4.054054054,4.054054054
89,Carabooda - Pinjar,174,324,274,0.86,-0.15,0.57,150,-50,100,0.862068966,-0.154320988,0.574712644
90,Two Rocks,174,274,324,0.57,0.18,0.86,100,50,150,0.574712644,0.182481752,0.862068966
91,Yanchep,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
92,Armadale - Wungong - Brookdale,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
93,Ashendon - Lesley,74,74,74,0,0,0,0,0,0,0,0,0
94,Camillo - Champion Lakes,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
95,Forrestdale - Harrisdale - Piara Waters,174,549,549,2.16,0,2.16,375,0,375,2.155172414,0,2.155172414
96,Kelmscott,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
97,Mount Nasura - Mount Richon - Bedfordale,174,374,374,1.15,0,1.15,200,0,200,1.149425287,0,1.149425287
98,Roleystone,174,549,549,2.16,0,2.16,375,0,375,2.155172414,0,2.155172414
99,Seville Grove,199,324,374,0.63,0.15,0.88,125,50,175,0.628140704,0.154320988,0.879396985
100,Belmont - Ascot - Redcliffe,174,374,549,1.15,0.47,2.16,200,175,375,1.149425287,0.467914439,2.155172414
101,East Victoria Park - Carlisle,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
102,Kewdale Commercial,74,74,74,0,0,0,0,0,0,0,0,0
103,Perth Airport,74,74,74,0,0,0,0,0,0,0,0,0
104,Rivervale - Kewdale - Cloverdale,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
105,Victoria Park - Lathlain - Burswood,174,324,549,0.86,0.69,2.16,150,225,375,0.862068966,0.694444444,2.155172414
106,Bentley - Wilson - St James,74,99,549,0.34,4.55,6.42,25,450,475,0.337837838,4.545454545,6.418918919
107,Canning Vale - West,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
108,Canning Vale Commercial,74,74,74,0,0,0,0,0,0,0,0,0
109,Cannington - Queens Park,199,374,374,0.88,0,0.88,175,0,175,0.879396985,0,0.879396985
110,Parkwood - Ferndale - Lynwood,174,374,374,1.15,0,1.15,200,0,200,1.149425287,0,1.149425287
111,Riverton - Shelley - Rossmoyne,224,374,549,0.67,0.47,1.45,150,175,325,0.669642857,0.467914439,1.450892857
112,Welshpool,74,74,74,0,0,0,0,0,0,0,0,0
113,Willetton,224,374,549,0.67,0.47,1.45,150,175,325,0.669642857,0.467914439,1.450892857
114,Beckenham - Kenwick - Langford,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
115,Canning Vale - East,324,549,549,0.69,0,0.69,225,0,225,0.694444444,0,0.694444444
116,Gosnells,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
117,Huntingdale - Southern River,199,374,549,0.88,0.47,1.76,175,175,350,0.879396985,0.467914439,1.75879397
118,Maddington - Orange Grove - Martin,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
119,Thornlie,224,324,374,0.45,0.15,0.67,100,50,150,0.446428571,0.154320988,0.669642857
120,Forrestfield - Wattle Grove,199,374,549,0.88,0.47,1.76,175,175,350,0.879396985,0.467914439,1.75879397
121,High Wycombe,199,374,549,0.88,0.47,1.76,175,175,350,0.879396985,0.467914439,1.75879397
122,Kalamunda - Maida Vale - Gooseberry Hill,224,374,549,0.67,0.47,1.45,150,175,325,0.669642857,0.467914439,1.450892857
123,Lesmurdie - Bickley - Carmel,224,324,549,0.45,0.69,1.45,100,225,325,0.446428571,0.694444444,1.450892857
124,Byford,174,374,424,1.15,0.13,1.44,200,50,250,1.149425287,0.13368984,1.436781609
125,Mundijong,174,274,549,0.57,1,2.16,100,275,375,0.574712644,1.003649635,2.155172414
126,Serpentine - Jarrahdale,174,124,324,-0.29,1.61,0.86,-50,200,150,-0.287356322,1.612903226,0.862068966
127,Como,199,324,549,0.63,0.69,1.76,125,225,350,0.628140704,0.694444444,1.75879397
128,Manning - Waterford,74,549,549,6.42,0,6.42,475,0,475,6.418918919,0,6.418918919
129,South Perth - Kensington,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
130,Banjup,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
131,Bibra Industrial,74,74,74,0,0,0,0,0,0,0,0,0
132,Bibra Lake,74,74,74,0,0,0,0,0,0,0,0,0
133,Coogee,274,424,549,0.55,0.29,1,150,125,275,0.547445255,0.294811321,1.003649635
134,Coolbellup,74,324,374,3.38,0.15,4.05,250,50,300,3.378378378,0.154320988,4.054054054
135,Hamilton Hill,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
136,Henderson,74,74,74,0,0,0,0,0,0,0,0,0
137,North Coogee,74,849,549,10.47,-0.35,6.42,775,-300,475,10.47297297,-0.35335689,6.418918919
138,South Lake - Cockburn Central,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
139,Spearwood,174,324,424,0.86,0.31,1.44,150,100,250,0.862068966,0.308641975,1.436781609
140,Success - Hammond Park,274,424,549,0.55,0.29,1,150,125,275,0.547445255,0.294811321,1.003649635
141,Yangebup,224,374,424,0.67,0.13,0.89,150,50,200,0.669642857,0.13368984,0.892857143
142,Beeliar - Wattleup,274,424,549,0.55,0.29,1,150,125,275,0.547445255,0.294811321,1.003649635
143,Jandakot,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
144,East Fremantle,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
145,Fremantle,74,549,549,6.42,0,6.42,475,0,475,6.418918919,0,6.418918919
146,Fremantle - South,74,99,549,0.34,4.55,6.42,25,450,475,0.337837838,4.545454545,6.418918919
147,O'Connor (WA),74,74,74,0,0,0,0,0,0,0,0,0
148,Bertram - Wellard (West),224,374,374,0.67,0,0.67,150,0,150,0.669642857,0,0.669642857
149,Calista,149,274,324,0.84,0.18,1.17,125,50,175,0.838926174,0.182481752,1.174496644
150,Hope Valley - Postans,174,324,274,0.86,-0.15,0.57,150,-50,100,0.862068966,-0.154320988,0.574712644
151,Kwinana Industrial,74,74,74,0,0,0,0,0,0,0,0,0
152,Parmelia - Orelia,174,274,324,0.57,0.18,0.86,100,50,150,0.574712644,0.182481752,0.862068966
153,Casuarina - Wandi,74,549,424,6.42,-0.23,4.73,475,-125,350,6.418918919,-0.227686703,4.72972973
154,Applecross - Ardross,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
155,Bateman,274,549,549,1,0,1,275,0,275,1.003649635,0,1.003649635
156,Bicton - Palmyra,224,374,549,0.67,0.47,1.45,150,175,325,0.669642857,0.467914439,1.450892857
157,Booragoon,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
158,Bull Creek,249,549,549,1.2,0,1.2,300,0,300,1.204819277,0,1.204819277
159,Leeming,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
160,Melville,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
161,Murdoch - Kardinya,224,549,549,1.45,0,1.45,325,0,325,1.450892857,0,1.450892857
162,Willagee,74,99,124,0.34,0.25,0.68,25,25,50,0.337837838,0.252525253,0.675675676
163,Winthrop,324,549,649,0.69,0.18,1,225,100,325,0.694444444,0.182149362,1.00308642
164,Baldivis,274,374,424,0.37,0.13,0.55,100,50,150,0.364963504,0.13368984,0.547445255
165,Cooloongup,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
166,Port Kennedy,224,374,374,0.67,0,0.67,150,0,150,0.669642857,0,0.669642857
167,Rockingham,149,224,274,0.5,0.22,0.84,75,50,125,0.503355705,0.223214286,0.838926174
168,Rockingham Lakes,74,74,74,0,0,0,0,0,0,0,0,0
169,Safety Bay - Shoalwater,174,324,324,0.86,0,0.86,150,0,150,0.862068966,0,0.862068966
170,Singleton - Golden Bay - Secret Harbour,274,374,424,0.37,0.13,0.55,100,50,150,0.364963504,0.13368984,0.547445255
171,Waikiki,174,324,374,0.86,0.15,1.15,150,50,200,0.862068966,0.154320988,1.149425287
172,Warnbro,199,324,374,0.63,0.15,0.88,125,50,175,0.628140704,0.154320988,0.879396985
